filename,len_in_sec,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,MOS_SSL,MOS_COL,MOS_DISC,MOS_LOUD,MOS_NOISE,MOS_REVERB,MOS_SIG,MOS_OVRL
/home/alexis/_MixedDataset/train_clean/LJ021-0148.wav,8.436,4.014705,4.3199277,4.4564366,4.364166232840828,4.613260727570849,4.6225373618281695,4.2646074,4.42906,4.2953477,4.6158557,4.2188745,4.569531,4.4879813,4.079456329345703,3.6826274394989014,3.5479893684387207,4.477227687835693,3.84311842918396,3.634721517562866,3.1887643337249756
/home/alexis/_MixedDataset/train_clean/LJ041-0128.wav,5.92825,3.2325253,4.1847887,3.3301945,3.5771434717666954,4.495340037173621,3.4935394061759246,4.157773,4.528424,3.5896318,4.4122205,4.01296,4.4211917,4.6198587,4.3048176765441895,4.1631975173950195,3.817741870880127,4.532597541809082,4.088218688964844,3.8196797370910645,3.5525612831115723
/home/alexis/_MixedDataset/train_clean/LJ016-0093.wav,6.40425,4.0988197,4.3756332,4.4886317,4.445289886894397,4.661564111630437,4.650745676221779,3.941634,4.414733,3.827331,4.524137,4.165503,4.546161,4.654752,3.749624729156494,3.9502811431884766,3.932072639465332,3.8127388954162598,3.888155460357666,3.8956031799316406,3.5570437908172607
/home/alexis/_MixedDataset/train_clean/LJ003-0080.wav,6.891875,4.1268864,4.3638425,4.542033,4.471954930281287,4.651458072806604,4.692999128222761,4.1459274,4.2578754,3.9157012,4.474515,4.1171575,4.485811,4.635083,3.601688861846924,2.9345600605010986,3.7653961181640625,3.995433807373047,4.040593147277832,3.231588840484619,2.915776014328003
/home/alexis/_MixedDataset/train_clean/LJ048-0102.wav,8.842375,4.1974015,4.416861,4.595337,4.5382186700857,4.695843180236464,4.733329615934813,4.178885,4.744582,4.323936,4.71051,4.397162,4.722191,4.5837417,4.1628193855285645,3.759552478790283,3.609459161758423,4.326353549957275,3.965576171875,4.092304706573486,3.7117934226989746
/home/alexis/_MixedDataset/train_clean/LJ026-0102.wav,7.6000625,3.8689778,4.229777,4.2414517,4.222586635152006,4.535063169353322,4.436150501438828,4.0457053,4.6552153,4.3472047,4.7170115,4.463589,4.6709466,4.5052924,4.440158843994141,3.818253517150879,3.8110649585723877,4.0860209465026855,3.9805479049682617,3.7103066444396973,3.494917154312134
/home/alexis/_MixedDataset/train_clean/LJ025-0110.wav,2.13175,3.297312,3.9323559,3.4900627,3.64451294268272,4.264230359605286,3.671090530484179,4.0321455,4.7726173,4.34226,4.7241755,4.4181933,4.728598,4.49939,3.0868704319000244,2.8188540935516357,4.012644290924072,3.806452989578247,3.4862005710601807,3.187687873840332,3.175426483154297
/home/alexis/_MixedDataset/train_clean/LJ005-0154.wav,2.5961875,2.8734858,4.1691446,2.6918914,3.1956860211149434,4.4813889001449185,2.7637915757599436,3.8478198,4.7584686,4.0099273,4.6420383,4.293015,4.6026316,4.636797,3.9082999229431152,3.804551601409912,3.5427327156066895,4.196032524108887,4.065508842468262,4.193470001220703,3.5322318077087402
/home/alexis/_MixedDataset/train_clean/LJ021-0151.wav,9.3415625,4.1326747,4.381904,4.537703,4.477515243858265,4.666898330181339,4.689637188365966,3.9050357,4.5313954,4.258632,4.761103,4.451411,4.703274,4.381063,3.778991460800171,4.007943630218506,3.87817645072937,4.155610084533691,3.8991496562957764,3.943556308746338,3.497398853302002
/home/alexis/_MixedDataset/train_clean/LJ034-0087.wav,7.3214375,3.7898483,4.2199087,4.0769396,4.143839276594576,4.525209606788103,4.28116821718136,3.7698326,4.42938,3.881385,4.5059395,4.290467,4.5380487,4.6616087,3.6763176918029785,3.805353879928589,3.2948474884033203,3.8515496253967285,4.385496139526367,3.4332499504089355,3.1489412784576416
